,final_legend,export_group,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,Preis (€),volumen
59,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,mes_4000A,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L3,"0,27","0,04","-0,03","-0,07","-0,07","-0,07","-0,06","401,91",1520
60,"Celsa ALO 12070 | 3000 A | Referenzlast 10,8 Ω",mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,"Referenzlast 10,8 Ω",L1,"0,27","-0,19","-0,23","-0,3","-0,35","-0,42","-1,02","71,51",1520
61,"Celsa ALO 12070 | 3000 A | Referenzlast 10,8 Ω",mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,"Referenzlast 10,8 Ω",L2,"0,28","-0,09","-0,16","-1,08","-1,89","-2,92","-5,43","71,51",1520
62,"Celsa ALO 12070 | 3000 A | Referenzlast 10,8 Ω",mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,"Referenzlast 10,8 Ω",L3,"0,25","-0,03","-0,1","-0,14","-0,15","-0,17","-0,91","71,51",1520
63,Celsa ALO 12070 | 3000 A | Asymmetrische Last (L2 = 0 Ω),mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Asymmetrische Last (L2 = 0 Ω),L1,"0,06","-0,16","-0,23","-0,31","-0,35","-0,42","-1,04","71,51",1520
64,Celsa ALO 12070 | 3000 A | Asymmetrische Last (L2 = 0 Ω),mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Asymmetrische Last (L2 = 0 Ω),L2,"0,19","-0,06","-0,13","-0,82","-1,8","-3,04","-5,68","71,51",1520
65,Celsa ALO 12070 | 3000 A | Asymmetrische Last (L2 = 0 Ω),mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Asymmetrische Last (L2 = 0 Ω),L3,"0,27","-0,02","-0,11","-0,14","-0,15","-0,16","-0,73","71,51",1520
66,Celsa ALO 12070 | 3000 A | Minimallast 0 Ω,mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Minimallast 0 Ω,L1,"0,08","-0,13","-0,22","-0,28","-0,32","-0,4","-1,86","71,51",1520
67,Celsa ALO 12070 | 3000 A | Minimallast 0 Ω,mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Minimallast 0 Ω,L2,"0,17","-0,04","-0,13","-0,6","-1,41","-2,54","-5,11","71,51",1520
68,Celsa ALO 12070 | 3000 A | Minimallast 0 Ω,mes_3000A_buerde,Celsa,ALO 12070,Parallel,3000,Minimallast 0 Ω,L3,"0,3","0,05","-0,05","-0,09","-0,1","-0,12","-0,43","71,51",1520
