final_legend,hersteller,modell,geometrie,nennstrom,technologie,Preis (€),flags,export_group,volumen,5% In_L1,5% In_L2,5% In_L3,20% In_L1,20% In_L2,20% In_L3,50% In_L1,50% In_L2,50% In_L3,80% In_L1,80% In_L2,80% In_L3,90% In_L1,90% In_L2,90% In_L3,100% In_L1,100% In_L2,100% In_L3,120% In_L1,120% In_L2,120% In_L3,Nieder_L1,Nieder_L2,Nieder_L3,Nenn_L1,Nenn_L2,Nenn_L3,Ueber_L1,Ueber_L2,Ueber_L3,Nieder_Ges,Nenn_Ges,Ueber_Ges,Gesamtfehler,Verbesserung Dreick
Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,"346,06",,mes_3000A,1520,"0,19","0,21","0,35","-0,07","-0,01","0,11","-0,18","-0,1",0,"-0,17","-0,07","-0,03","-0,15","0,02","-0,02","-0,12","0,27","0,01","-0,07","0,93","0,08","-0,02","0,03","0,15","-0,15","0,07","-0,01","-0,07","0,93","0,08","0,07","0,08","0,36","0,17","47,15"
Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,"346,06",,mes_3000A,1520,"0,27","0,3","0,34","-0,09","0,02","0,15","-0,17","-0,07","0,14","-0,18","-0,11","0,17","-0,16","-0,09","-0,04","-0,14","-0,07","-0,05","-0,08","0,1","-0,05",0,"0,08","0,21","-0,16","-0,09","0,03","-0,08","0,1","-0,05","0,1","0,09","0,08","0,09",
Celsa ALO 12070 | 3000 A | Asymmetrische Last (L2 = 0 Ω),Celsa,ALO 12070,Parallel,3000,Asymmetrische Last (L2 = 0 Ω),"71,51",1,mes_3000A_buerde,1520,"0,06","0,19","0,27","-0,16","-0,06","-0,02","-0,23","-0,13","-0,11","-0,31","-0,82","-0,14","-0,35","-1,8","-0,15","-0,42","-3,04","-0,16","-1,04","-5,68","-0,73","-0,11",0,"0,05","-0,36","-1,89","-0,15","-1,04","-5,68","-0,73","0,05","0,8","2,48","1,11","4,6"
Celsa ALO 12070 | 3000 A | Minimallast 0 Ω,Celsa,ALO 12070,Parallel,3000,Minimallast 0 Ω,"71,51",1,mes_3000A_buerde,1520,"0,08","0,17","0,3","-0,13","-0,04","0,05","-0,22","-0,13","-0,05","-0,28","-0,6","-0,09","-0,32","-1,41","-0,1","-0,4","-2,54","-0,12","-1,86","-5,11","-0,43","-0,09",0,"0,1","-0,33","-1,52","-0,1","-1,86","-5,11","-0,43","0,06","0,65","2,47","1,06",
"Celsa ALO 12070 | 3000 A | Referenzlast 10,8 Ω",Celsa,ALO 12070,Parallel,3000,"Referenzlast 10,8 Ω","71,51",1,mes_3000A_buerde,1520,"0,27","0,28","0,25","-0,19","-0,09","-0,03","-0,23","-0,16","-0,1","-0,3","-1,08","-0,14","-0,35","-1,89","-0,15","-0,42","-2,92","-0,17","-1,02","-5,43","-0,91","-0,05","0,01","0,04","-0,36","-1,96","-0,15","-1,02","-5,43","-0,91","0,03","0,82","2,45","1,1","81,71"
Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,"71,51",,mes_3000A_x,1520,"0,265","0,285","0,253","-0,195","-0,089","-0,03","-0,225","-0,158","-0,098","-0,301","-1,081","-0,138","-0,349","-1,89","-0,149","-0,418","-2,924","-0,17","-1,017","-5,426","-0,91","-0,05","0,01","0,04","-0,36","-1,97","-0,15","-1,02","-5,43","-0,91","0,04","0,82","2,45","1,1","81,82"
Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Celsa,ALO 12070,Dreieck,3000,Standard,"71,51",,mes_3000A_x,1520,"0,138","0,201","0,33","-0,174","-0,093","0,059","-0,257","-0,173","-0,05","-0,314","-0,196","-0,113","-0,343","-0,201","-0,136","-0,385","-0,207","-0,035","-0,685","-0,227","-0,018","-0,1","-0,02","0,11","-0,35","-0,2","-0,09","-0,69","-0,23","-0,02","0,08","0,21","0,31","0,2",
Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,"346,06",,mes_3000A_x,1520,"0,194","0,209","0,345","-0,07","-0,009","0,11","-0,176","-0,099","0,001","-0,174","-0,071","-0,031","-0,15","0,022","-0,018","-0,118","0,266","0,012","-0,072","0,929","0,082","-0,02","0,03","0,15","-0,15","0,07","-0,01","-0,07","0,93","0,08","0,07","0,08","0,36","0,17","47,65"
Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,"346,06",,mes_3000A_x,1520,"0,273","0,296","0,338","-0,093","0,022","0,153","-0,17","-0,073","0,137","-0,184","-0,108","0,169","-0,163","-0,088","-0,037","-0,141","-0,073","-0,045","-0,076","0,097","-0,046",0,"0,08","0,21","-0,16","-0,09","0,03","-0,08","0,1","-0,05","0,1","0,09","0,07","0,09",
Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,4000,Standard,"71,51",,mes_4000A,1520,"0,22","0,14","0,11","-0,03","-0,07","-0,12","-0,12","-0,12","-0,16","-0,14","-0,95","-0,2","-0,2","-2,03","-0,36","-0,7","-3,28","-1,22","-3,21","-5,86","-3,84","0,02","-0,02","-0,06","-0,35","-2,09","-0,59","-3,21","-5,86","-3,84","0,03","1,01","4,3","1,78",
