05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
12;278.167999267578;12;267.263854980469;12;261.401336669922;12;277.808135986328;12;267.058685302734;12;261.344696044922;12;1007.28204345703;12;1005.04187011719;12;999.066772460938;12;1003.38665771484;12;996.361022949219;12;996.150024414063;12;2504.89770507813;12;2495.51513671875;12;2502.39892578125;12;2492.67724609375;12;2488.3623046875;12;2497.50903320313;12;4014.84741210938;12;3991.20336914063;12;4025.044921875;12;3997.57421875;12;3987.56494140625;12;4024.16943359375;12;4494.1240234375;12;4497.166015625;12;4507.98828125;12;4444.298828125;12;4467.97314453125;12;4501.35986328125;12;4989.107421875;12;4981.0390625;12;4999.6953125;12;4890.9873046875;12;4927.3974609375;12;4987.5576171875;12;6000.29931640625;12;6008.5546875;12;6017.8046875;12;5772.72412109375;12;5892.96630859375;12;5988.580078125
13;278.294006347656;13;267.514068603516;13;261.419250488281;13;277.933868408203;13;267.342926025391;13;261.430084228516;13;1019.52807617188;13;1052.17138671875;13;1011.16577148438;13;1015.91809082031;13;1044.18884277344;13;1008.05426025391;13;2528.32250976563;13;2505.130859375;13;2505.07299804688;13;2519.94091796875;13;2498.68383789063;13;2501.16259765625;13;4009.58642578125;13;3973.40307617188;13;4023.04956054688;13;3991.29638671875;13;3959.17114257813;13;4018.24853515625;13;4493.640625;13;4496.94970703125;13;4507.48828125;13;4443.1103515625;13;4466.3154296875;13;4500.87451171875;13;4988.33203125;13;4980.79296875;13;4999.64501953125;13;4890.96337890625;13;4927.046875;13;4987.62255859375;13;5995.6796875;13;5997.7451171875;13;5983.7138671875;13;5768.58056640625;13;5885.2900390625;13;5957.8447265625
14;278.378295898438;14;267.513000488281;14;261.427978515625;14;278.005126953125;14;267.351867675781;14;261.404266357422;14;1021.03387451172;14;1060.75927734375;14;1014.10504150391;14;1018.92071533203;14;1058.78869628906;14;1012.62512207031;14;2530.5947265625;14;2507.2255859375;14;2505.02001953125;14;2524.23583984375;14;2501.90502929688;14;2501.16625976563;14;4009.2109375;14;3973.7880859375;14;4024.66015625;14;3990.24438476563;14;3959.8271484375;14;4019.82250976563;14;4493.6455078125;14;4497.00341796875;14;4507.939453125;14;4444.06298828125;14;4467.18603515625;14;4501.4541015625;14;4986.43212890625;14;4979.71435546875;14;4999.349609375;14;4888.89892578125;14;4925.83447265625;14;4987.57470703125;14;5995.6796875;14;5997.7451171875;14;5983.7138671875;14;5768.1767578125;14;5882.42431640625;14;5952.732421875
15;278.40869140625;15;267.569122314453;15;261.437866210938;15;278.054931640625;15;267.421661376953;15;261.434906005859;15;1018.11590576172;15;1059.7919921875;15;1014.20770263672;15;1018.37658691406;15;1058.75939941406;15;1013.15972900391;15;2531.150390625;15;2507.59057617188;15;2504.66088867188;15;2524.896484375;15;2502.05200195313;15;2501.0078125;15;4009.40844726563;15;3974.02490234375;15;4025.27612304688;15;3990.34765625;15;3960.45361328125;15;4020.84130859375;15;4493.17578125;15;4495.5048828125;15;4507.3232421875;15;4442.673828125;15;4465.69580078125;15;4500.583984375;15;4986.43212890625;15;4979.71435546875;15;4999.349609375;15;4888.45654296875;15;4926.84375;15;4987.27099609375;15;5992.06689453125;15;5993.3037109375;15;5980.05126953125;15;5765.6474609375;15;5879.86328125;15;5952.93408203125
16;278.466888427734;16;267.638854980469;16;261.487121582031;16;278.118896484375;16;267.506652832031;16;261.483093261719;16;987.7177734375;16;1050.27587890625;16;1010.12243652344;16;991.438537597656;16;1050.12109375;16;1009.73754882813;16;2530.73583984375;16;2507.31176757813;16;2504.98095703125;16;2524.8046875;16;2502.21630859375;16;2500.90063476563;16;4008.01904296875;16;3973.20288085938;16;4024.5439453125;16;3989.77734375;16;3959.22778320313;16;4020.31274414063;16;4493.12255859375;16;4495.1748046875;16;4506.14013671875;16;4442.85498046875;16;4464.9306640625;16;4500.1142578125;16;4987.20751953125;16;4980.623046875;16;4999.27783203125;16;4888.49560546875;16;4927.05712890625;16;4986.71923828125;16;5992.06689453125;16;5993.3037109375;16;5980.05126953125;16;5767.08203125;16;5880.685546875;16;5952.05419921875
17;278.350738525391;17;267.656372070313;17;261.455596923828;17;278.060821533203;17;267.527526855469;17;261.468231201172;17;974.174377441406;17;1046.412109375;17;1007.8681640625;17;972.820434570313;17;1044.75634765625;17;1006.60736083984;17;2530.4150390625;17;2507.12548828125;17;2504.76782226563;17;2524.29272460938;17;2501.70971679688;17;2500.9384765625;17;4007.42358398438;17;3972.95385742188;17;4020.32495117188;17;3983.82836914063;17;3953.41015625;17;3986.59106445313;17;4493.1220703125;17;4495.52978515625;17;4506.19677734375;17;4443.06396484375;17;4465.45263671875;17;4499.6474609375;17;4987.20751953125;17;4980.623046875;17;4999.27783203125;17;4913.48291015625;17;4933.2724609375;17;4991.6611328125;17;5994.9296875;17;5994.81591796875;17;5980.537109375;17;5767.6591796875;17;5881.533203125;17;5952.72265625
18;278.298492431641;18;267.610565185547;18;261.482238769531;18;278.056518554688;18;267.497314453125;18;261.529449462891;18;974.243286132813;18;1046.96362304688;18;1008.26977539063;18;972.181213378906;18;1044.99096679688;18;1006.76470947266;18;2529.82202148438;18;2506.7255859375;18;2504.09155273438;18;2523.8740234375;18;2501.6572265625;18;2500.30200195313;18;4002.001953125;18;3964.7451171875;18;3987.40893554688;18;3983.82836914063;18;3953.41015625;18;3986.59106445313;18;4493.220703125;18;4495.65771484375;18;4504.9482421875;18;4442.87255859375;18;4466.04052734375;18;4499.2431640625;18;5031.29638671875;18;4993.1064453125;18;5006.24609375;18;4928.9375;18;4938.86669921875;18;4994.759765625;18;5996.15380859375;18;5996.54833984375;18;5981.31298828125;18;5768.822265625;18;5883.01123046875;18;5953.611328125
19;278.442535400391;19;267.651428222656;19;261.552185058594;19;278.056518554688;19;267.497314453125;19;261.529449462891;19;974.270812988281;19;1047.20483398438;19;1008.53070068359;19;972.328125;19;1045.33178710938;19;1007.21032714844;19;2530.13500976563;19;2506.79809570313;19;2504.48095703125;19;2523.96166992188;19;2501.26611328125;19;2500.46264648438;19;4002.08764648438;19;3961.95239257813;19;3982.84350585938;19;3984.57373046875;19;3949.82006835938;19;3980.30151367188;19;4490.912109375;19;4493.8662109375;19;4502.18408203125;19;4440.9306640625;19;4464.07958984375;19;4496.55029296875;19;5032.95556640625;19;4994.9384765625;19;5006.49560546875;19;4930.9638671875;19;4940.94384765625;19;4995.18798828125;19;5997.21484375;19;5999.14990234375;19;5982.318359375;19;5769.6044921875;19;5885.4794921875;19;5954.77783203125
20;278.436676025391;20;267.500305175781;20;261.552886962891;20;278.014190673828;20;267.420043945313;20;261.516235351563;20;974.126220703125;20;1047.13073730469;20;1008.40325927734;20;972.162231445313;20;1045.19812011719;20;1007.15460205078;20;2530.404296875;20;2507.29931640625;20;2504.60986328125;20;2524.10766601563;20;2502.021484375;20;2500.81860351563;20;4003.59448242188;20;3963.22314453125;20;3984.36669921875;20;3984.57373046875;20;3949.82006835938;20;3980.30151367188;20;4491.12890625;20;4493.66650390625;20;4502.162109375;20;4440.9716796875;20;4463.31005859375;20;4495.61962890625;20;5032.0810546875;20;4995.2958984375;20;5006.50732421875;20;4930.111328125;20;4941.54541015625;20;4994.98046875;20;5999.00390625;20;5998.9912109375;20;5984.12255859375;20;5771.416015625;20;5885.673828125;20;5956.5830078125
21;278.361114501953;21;267.563018798828;21;261.509002685547;21;278.014190673828;21;267.420043945313;21;261.516235351563;21;973.957153320313;21;1047.07897949219;21;1008.18548583984;21;972.050231933594;21;1045.09094238281;21;1006.86077880859;21;2530.404296875;21;2507.29931640625;21;2504.60986328125;21;2524.14453125;21;2501.90209960938;21;2500.83129882813;21;4003.140625;21;3962.41284179688;21;3984.15258789063;21;3984.20532226563;21;3948.82373046875;21;3979.46069335938;21;4492.33740234375;21;4493.2763671875;21;4503.1240234375;21;4440.96728515625;21;4462.0693359375;21;4496.390625;21;5032.56689453125;21;4996.28564453125;21;5007.36962890625;21;4930.46875;21;4942.287109375;21;4995.796875;21;5998.47265625;21;5998.87158203125;21;5984.3515625;21;5771.1435546875;21;5885.7919921875;21;5956.53125
22;278.391326904297;22;267.605590820313;22;261.503234863281;22;277.992797851563;22;267.391326904297;22;261.440338134766;22;974.0654296875;22;1046.94689941406;22;1008.16296386719;22;972.050231933594;22;1045.09094238281;22;1006.86077880859;22;2530.15014648438;22;2507.42431640625;22;2504.62963867188;22;2524.27514648438;22;2501.72265625;22;2500.96997070313;22;4003.140625;22;3962.41284179688;22;3984.15258789063;22;3986.02685546875;22;3949.67846679688;22;3980.68994140625;22;4491.107421875;22;4492.2333984375;22;4502.55908203125;22;4440.96728515625;22;4462.0693359375;22;4496.390625;22;5033.57275390625;22;4997.7998046875;22;5009.01220703125;22;4931.58642578125;22;4943.55224609375;22;4997.3564453125;22;5997.94921875;22;5999.34521484375;22;5982.6494140625;22;5770.27001953125;22;5885.97216796875;22;5955.17822265625
23;278.34912109375;23;267.537109375;23;261.409759521484;23;278.000579833984;23;267.422973632813;23;261.497192382813;23;974.011962890625;23;1046.62561035156;23;1008.22277832031;23;971.893127441406;23;1045.04162597656;23;1006.61798095703;23;2530.55322265625;23;2507.74267578125;23;2504.46728515625;23;2524.40161132813;23;2502.5673828125;23;2500.5263671875;23;4003.0;23;3962.12939453125;23;3983.87084960938;23;3984.34765625;23;3949.08178710938;23;3980.03100585938;23;4493.17431640625;23;4495.23828125;23;4504.41650390625;23;4443.3369140625;23;4465.375;23;4498.490234375;23;5033.52734375;23;4997.99072265625;23;5010.20556640625;23;4931.537109375;23;4943.9921875;23;4998.701171875;23;5998.865234375;23;5999.76123046875;23;5983.0009765625;23;5771.0283203125;23;5886.0703125;23;5955.57666015625
24;278.384460449219;24;267.554473876953;24;261.448333740234;24;278.047698974609;24;267.444915771484;24;261.469970703125;24;973.955139160156;24;1047.00183105469;24;1007.83489990234;24;971.893127441406;24;1045.04162597656;24;1006.61798095703;24;2530.30151367188;24;2507.13525390625;24;2503.43237304688;24;2524.2587890625;24;2502.04467773438;24;2499.68530273438;24;4003.0;24;3962.12939453125;24;3983.87084960938;24;3987.44213867188;24;3949.89672851563;24;3982.05004882813;24;4493.78857421875;24;4495.322265625;24;4504.728515625;24;4443.3369140625;24;4465.375;24;4498.490234375;24;5033.376953125;24;4998.09619140625;24;5011.197265625;24;4931.08349609375;24;4943.9443359375;24;4999.54052734375;24;6000.5859375;24;6001.25732421875;24;5985.23388671875;24;5773.0703125;24;5886.82666015625;24;5957.73779296875
25;278.384460449219;25;267.554473876953;25;261.448333740234;25;277.977020263672;25;267.429077148438;25;261.479461669922;25;973.80810546875;25;1047.27709960938;25;1007.96655273438;25;971.937377929688;25;1045.29565429688;25;1006.71643066406;25;2530.13623046875;25;2506.904296875;25;2503.71118164063;25;2524.12231445313;25;2501.669921875;25;2499.8203125;25;4007.87915039063;25;3965.98461914063;25;3986.97680664063;25;3989.34521484375;25;3952.251953125;25;3983.27758789063;25;4493.541015625;25;4494.7734375;25;4505.2138671875;25;4443.296875;25;4465.23828125;25;4499.14013671875;25;5033.369140625;25;4997.80126953125;25;5011.3095703125;25;4931.06640625;25;4944.052734375;25;4999.94091796875;25;6000.61865234375;25;6000.76171875;25;5985.01513671875;25;5772.7607421875;25;5887.48974609375;25;5957.59375
26;278.360076904297;26;267.535339355469;26;261.345794677734;26;278.015930175781;26;267.380035400391;26;261.380737304688;26;973.93408203125;26;1047.19445800781;26;1008.00128173828;26;972.045166015625;26;1045.33239746094;26;1006.63848876953;26;2529.68017578125;26;2506.3525390625;26;2503.38500976563;26;2523.45849609375;26;2501.13745117188;26;2499.76318359375;26;4007.87915039063;26;3965.98461914063;26;3986.97680664063;26;3987.921875;26;3951.6484375;26;3982.1181640625;26;4493.541015625;26;4494.7734375;26;4505.2138671875;26;4443.37646484375;26;4464.74560546875;26;4498.9287109375;26;5032.17431640625;26;4997.91357421875;26;5011.0078125;26;4930.40869140625;26;4943.75244140625;26;4999.365234375;26;5999.17333984375;26;5997.787109375;26;5983.45068359375;26;5772.1806640625;26;5883.6865234375;26;5957.03759765625
27;278.360076904297;27;267.535339355469;27;261.345794677734;27;272.290405273438;27;265.212738037109;27;260.652465820313;27;973.880920410156;27;1047.09875488281;27;1007.71472167969;27;971.842407226563;27;1045.23376464844;27;1006.46203613281;27;2529.60302734375;27;2506.35864257813;27;2503.58618164063;27;2523.45849609375;27;2501.13745117188;27;2499.76318359375;27;4007.59252929688;27;3966.8173828125;27;3987.43920898438;27;3988.33129882813;27;3953.23217773438;27;3982.84399414063;27;4492.8984375;27;4493.77001953125;27;4502.38427734375;27;4442.74169921875;27;4464.29248046875;27;4496.794921875;27;5032.046875;27;4997.79248046875;27;5011.41259765625;27;4930.2666015625;27;4943.962890625;27;4999.59033203125;27;5999.00146484375;27;5998.478515625;27;5983.75390625;27;5771.43798828125;27;5885.14990234375;27;5955.705078125
28;239.081604003906;28;254.349594116211;28;256.028747558594;28;242.382858276367;28;255.231384277344;28;256.565734863281;28;973.880920410156;28;1047.09875488281;28;1007.71472167969;28;971.554321289063;28;1045.22192382813;28;1006.41333007813;28;2522.84350585938;28;2503.2314453125;28;2503.13232421875;28;2488.43481445313;28;2485.57421875;28;2496.2900390625;28;4008.6337890625;28;3967.30029296875;28;3988.7109375;28;3989.55126953125;28;3953.60791015625;28;3983.89379882813;28;4492.8984375;28;4493.77001953125;28;4502.38427734375;28;4440.76708984375;28;4462.02783203125;28;4495.9423828125;28;5032.23681640625;28;4998.1435546875;28;5010.234375;28;4929.97607421875;28;4943.7568359375;28;4999.4677734375;28;5999.11767578125;28;5999.38818359375;28;5983.61767578125;28;5771.44140625;28;5886.046875;28;5956.05419921875
